subset	split	aug_idx	im_path	pts_path	face_box_left	face_box_top	face_box_right	face_box_bottom
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_001.png	300w/300W/01_Indoor/indoor_001.pts	183.830505	149.858398	414.639801	449.606262
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_002.png	300w/300W/01_Indoor/indoor_002.pts	189.494751	150.009674	410.647949	449.999512
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_003.png	300w/300W/01_Indoor/indoor_003.pts	178.376724	149.748856	421.145660	449.725861
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_004.png	300w/300W/01_Indoor/indoor_004.pts	201.155838	150.281113	398.757019	450.388214
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_005.png	300w/300W/01_Indoor/indoor_005.pts	189.437851	150.284790	410.195892	450.391022
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_006.png	300w/300W/01_Indoor/indoor_006.pts	186.419647	149.878357	414.087524	449.958771
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_007.png	300w/300W/01_Indoor/indoor_007.pts	193.337814	149.983307	407.050995	449.989075
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_008.png	300w/300W/01_Indoor/indoor_008.pts	196.970383	149.793686	403.380646	449.725342
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_009.png	300w/300W/01_Indoor/indoor_009.pts	180.438583	149.735519	420.017181	449.506256
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_010.png	300w/300W/01_Indoor/indoor_010.pts	209.135376	150.055389	390.762421	450.031586
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_011.png	300w/300W/01_Indoor/indoor_011.pts	196.324478	150.072952	404.785828	450.319000
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_012.png	300w/300W/01_Indoor/indoor_012.pts	200.082657	149.892944	400.317963	449.830780
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_013.png	300w/300W/01_Indoor/indoor_013.pts	191.090576	149.982117	408.700165	449.936951
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_014.png	300w/300W/01_Indoor/indoor_014.pts	184.889893	150.081253	414.697632	450.015167
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_015.png	300w/300W/01_Indoor/indoor_015.pts	180.746979	150.200241	419.729767	450.360626
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_016.png	300w/300W/01_Indoor/indoor_016.pts	192.604187	150.095337	407.515869	450.049622
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_017.png	300w/300W/01_Indoor/indoor_017.pts	191.080246	150.144714	408.529572	449.973450
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_018.png	300w/300W/01_Indoor/indoor_018.pts	195.488266	149.507690	404.658569	449.474152
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_019.png	300w/300W/01_Indoor/indoor_019.pts	193.464615	150.275864	405.909119	450.154449
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_020.png	300w/300W/01_Indoor/indoor_020.pts	185.649536	150.049606	414.449371	450.062988
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_021.png	300w/300W/01_Indoor/indoor_021.pts	201.680237	149.980118	398.551392	450.060242
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_022.png	300w/300W/01_Indoor/indoor_022.pts	195.349365	150.134262	405.093018	450.295319
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_023.png	300w/300W/01_Indoor/indoor_023.pts	178.724503	149.802673	421.836121	449.681183
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_024.png	300w/300W/01_Indoor/indoor_024.pts	193.038452	149.754578	407.337250	449.692078
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_025.png	300w/300W/01_Indoor/indoor_025.pts	189.738586	149.834686	409.742950	449.783630
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_026.png	300w/300W/01_Indoor/indoor_026.pts	193.755157	149.744598	405.904175	449.728577
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_027.png	300w/300W/01_Indoor/indoor_027.pts	196.089279	149.725784	404.311066	449.615967
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_028.png	300w/300W/01_Indoor/indoor_028.pts	180.819427	150.195694	419.761017	450.218506
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_029.png	300w/300W/01_Indoor/indoor_029.pts	192.355072	150.114456	407.194946	450.109497
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_030.png	300w/300W/01_Indoor/indoor_030.pts	211.129959	149.973816	388.402435	449.929443
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_031.png	300w/300W/01_Indoor/indoor_031.pts	184.834991	150.028076	415.456696	449.911072
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_032.png	300w/300W/01_Indoor/indoor_032.pts	191.583557	150.084839	408.773895	450.059326
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_033.png	300w/300W/01_Indoor/indoor_033.pts	193.125885	150.330795	407.511139	450.426514
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_034.png	300w/300W/01_Indoor/indoor_034.pts	191.190262	150.117569	409.314240	450.189941
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_035.png	300w/300W/01_Indoor/indoor_035.pts	198.825287	149.815765	400.513336	450.160034
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_036.png	300w/300W/01_Indoor/indoor_036.pts	189.634583	150.237885	410.120209	450.347229
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_037.png	300w/300W/01_Indoor/indoor_037.pts	192.114502	149.615768	408.238068	449.616180
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_038.png	300w/300W/01_Indoor/indoor_038.pts	187.886475	150.370514	410.995453	450.217407
300W	01_Indoor	0	300w/300W/01_Indoor/indoor_039.png	300w/300W/01_Indoor/indoor_039.pts	203.537613	150.530807	395.501465	450.626282
